Novel_Fam	0505-0101	R1W5
NOV1RD09	0	31.983736
NOVIL1Z3	0	24.660288
NOV7HP8N	0	21.611626
NOV9SDLJ	0	41.09326
NOVTWD5H	0	15.548176
NOVTP4ZR	0	10.804441
NOVIOV6N	0	13.341445
NOVE7TA4	0	13.232276
NOVH707W	0	8.762412
NOVD18NI	0	8.762412
NOV11VOA	0	8.762412
NOV09QK3	0	11.772227
NOVHX0A6	0	17.040108
NOVPCK2G	0	8.261173
NOVS0L37	0	28.60428
NOVUWLJA	0	28.60428
NOV81ZTO	0	11.694283
NOV7LJUD	0	24.832751000000002
NOV97K9W	0	25.0298876
NOVXO9HG	0	13.297154
NOV7YIN8	0	22.4589633
NOVRWJTJ	0	7.629222
NOV8H3DI	0	7.629222
NOVHSC2N	0	9.296
NOVGK8U5	0	8.169212
NOVC7582	0	11.965232
NOVIA2FB	0	11.536798300000001
NOV3M7DI	0	7.308983
NOVIYYKV	0	6.6064596
NOVJRN9P	0	12.522789
NOVF40P7	0	6.748207
NOVGLVW5	0	4.8238444
NOVW9UHT	0	9.508001
NOVJ919P	0	6.0873804
NOVWGFVI	0	6.664532
NOVKJVWM	0	11.868479
NOVUVR7L	0	11.868479
NOVQMCHC	0	7.2947197
NOVGLT73	0	7.3670096
NOVCHOZX	0	5.1795645
NOVF7CHK	0	5.1795645
NOV5LRK1	0	5.8243456
NOVG3X3G	0	11.525128
NOVLR60R	0	5.088205
NOVOX48H	0	11.794298
NOVCMZM6	0	20.483423000000002
NOVLW7MG	0	7.337564
NOVKA80C	0	6.8521714
NOV9H4JB	0	4.4612007
NOV9DR0H	0	4.509171
NOVAYPJI	0	4.5145645
NOVGEOY0	0	3.0609698
NOVM5MDD	0	13.136975
NOVR8THK	0	10.170872
NOVMWWEX	0	7.8825727
NOVOK1NM	0	10.417046
NOVYGE36	0	4.0687537
NOVMFESC	0	8.211871
NOVQJFZO	0	4.9400206
NOVYH6FE	0	8.37589
NOVUE1DW	0	7.952668
NOVZZ5C8	0	4.1935287
NOVP0EST	0	12.750594
NOVLM5FA	0	5.1349335
NOVJET9U	0	6.8746376
NOVN9CNY	0	6.0400624
NOVUKTL5	0	3.4609592
NOVCSFLH	0	3.4609592
NOV9KFX8	0	7.8302402
NOVGC24X	0	7.862866
NOVTJNRT	0	5.2565126
NOVX8C4E	0	2.6578703
NOVY2P4Z	0	2.6578703
NOVD9UP3	0	3.7331116
NOV2N25Q	0	8.9099796
NOV0Z3G5	0	3.7442222
NOVN1525	0	2.8123517
NOVZ95B9	0	8.551758
NOVQRC0S	0	9.272191
NOV07X6D	0	10.596207
NOVR8QIW	0	10.596207
NOVICNRC	0	3.9253
NOVJ3PLP	0	2.9531891
NOVOS53E	0	2.9531891
NOVYOZ3J	0	6.077578
NOV9RUSE	0	8.249565
NOVVM3GT	0	4.138351
NOVCQUF7	0	6.3645463
NOVYH6B7	0	4.3232255
NOV1D3TH	0	2.176572
NOV6U4FJ	0	2.1803443
NOVQJBB4	0	2.2032552
NOVITOL6	0	4.477077
NOVY1W6A	0	4.477077
NOVNWW81	0	4.477077
NOV2SSEJ	0	2.2385385
NOVFQIZ6	0	2.2385385
NOVWG06U	0	2.242529
NOVQM3Y7	0	3.3818781
NOVFSUUS	0	2.2626953
NOVGZUY4	0	6.8621383
NOVHWAO8	0	3.4373188
NOVK1Y3Y	0	8.035047
NOVWWH9J	0	5.7355044
NOVL6JVJ	0	4.6594768
NOVXB4G0	0	4.6594768
NOVYR71U	0	9.5952439
NOV60M56	0	5.8459973
NOVVRFNB	0	4.703023
NOVMR6MC	0	7.429819
NOV5BANU	0	3.5605435
NOVTS3YY	0	4.747391
NOV04MSG	0	7.161624
NOVE1A6V	0	4.7744164
NOV4C71C	0	4.8109317
NOVXLTRI	0	4.8109317
NOVPN3UP	0	4.904712
NOVLF3MH	0	3.678534
NOV0HLSL	0	4.9239087
NOVO7MDS	0	2.4912052
NOVWYYVD	0	3.7516658
NOVI0KXR	0	2.5011108
NOVUC2PS	0	5.02219
NOVMEYHM	0	2.511095
NOVX689D	0	5.0322347
NOVB47WG	0	2.5211596
NOVY144O	0	2.5211596
NOVS9YAE	0	8.4098426
NOVW0H0W	0	5.1036863
NOV9W4K5	0	2.5518432
NOVYLC89	0	5.124475
NOVQ1YJQ	0	2.5622375
NOVPCN3U	0	8.986133
NOVY54F3	0	2.5674667
NOV90AT1	0	3.8590758
NOVTOGA5	0	2.572717
NOVNLHRA	0	2.588598
NOVN2E32	0	2.5939353
NOV18HRJ	0	2.6046762
NOV7TAMZ	0	2.6046762
