Novel_Fam	0505-0101	R1W5
NOVGXKHB	4.662033659996637	2.3322501062899845
NOVJD2X1	7.1846463060924854	0
NOVC5P2C	3.204895726979642	0
NOVGCVS7	4.3430964787492785	0
NOV98XDN	2.3903672585966924	0
NOV999N1	8.640649639964758	0
NOV0XS0B	9.464457679361056	0
NOVCX08R	4.246639634674363	0
NOV935VQ	5.3699047485298355	0
NOVFIBNA	3.6759231082400654	29.276134968034363
NOVX8MZQ	4.940606087403009	0
NOV8147M	3.473919286284068	5.372391473088202
NOV4AILI	3.094381795690604	0
NOV31HZ3	2.385598942843086	0
NOVCXOIC	6.015689839508286	0
NOVTWVXW	15.234540201660385	0
NOVN5SIW	5.790297468802795	0
NOVFQMEO	3.726497598303052	0
NOVD32R8	3.726497598303052	0
NOV3ZL58	4.38960869537431	4.284753534982554
NOVDMJQ3	6.654659515238315	0
NOVY6TG1	6.654659515238315	0
NOVKS0DS	4.201651012100305	0
NOVKFOMU	2.978342627859473	0
NOVMS86L	1.7058315402283588	0
NOVG3WPC	5.99805120222072	0
NOV93X35	5.569618947203677	0
NOVY31J5	3.933280776549257	0
NOVEWOFA	3.5045248498008537	0
NOV7D2W7	8.347957010276696	0
NOVPVV05	5.573381746086325	0
NOVIOXEL	2.8401441830249246	0
NOVVATPA	4.81359483429756	0
NOV0ESWU	6.224825848108687	0
NOVSDDYR	2.438507494348048	0
NOVJ9KG8	2.4449501994817053	0
NOVH1GTA	2.0008942971112953	0
NOVK7G9I	3.0135584434475233	0
NOV3ZS8W	4.0290115213336986	0
NOVOFLT0	4.0290115213336986	0
NOV5RFCY	5.0916838702097404	0
NOVYV9PC	5.105730192900676	0
NOV7STRN	6.463206490080828	0
NOV6T1LJ	4.126047993580181	0
NOVHICCH	2.4313000480458116	0
NOVEY0KF	6.820469054049976	0
NOVMA9PC	3.732761262734826	0
NOVDGM4T	3.732761262734826	0
NOVIA97G	3.8558902951533907	0
NOV82O03	1.3173146892126297	0
