baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R16W0	R8W7	R16W7	R8W0	R10W7	R6W0	R6W7	R10W0	R3W0	R9W7	R3W7	R9W0	R19W7	R21W0	R21W7	R19W0	Significant	tax[rownames(res), ]	Phylum	KO
0.73569075093865	2.93597171808516	3.00628180479009	0.976612276802231	0.328761138896231	0.84655442959671	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	No	NOV4MW6N	NOV4MW6N	NOV4MW6N
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVBRG1L	NOVBRG1L	NOVBRG1L
0.653947334167689	2.76435429808327	3.01028350766832	0.918303638524886	0.358459922931332	0.84655442959671	0	0	0	0	8	0	0	25	0	0	0	0	0	0	0	0	No	NOVPKHNS	NOVPKHNS	NOVPKHNS
0.572203917396728	2.56954169152243	3.01542422701915	0.852132734259586	0.394140425478515	0.84655442959671	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	No	NOVKQ25L	NOVKQ25L	NOVKQ25L
6.13745703534066	-0.670739956399951	2.74085417996548	-0.244719314621984	0.806673771785289	0.920120750714974	0	0	0	0	14	0	0	40	0	0	0	0	0	12	11	14	No	NOV5KJLG	NOV5KJLG	NOV5KJLG
5.28940940075607	-1.38167534064918	2.90841002802214	-0.47506208799204	0.634742719802794	0.84655442959671	0	41	0	17	0	0	0	73	0	0	0	0	0	10	0	0	No	NOVIEGWN	NOVIEGWN	NOVIEGWN
3.89369080020401	0.620736625098446	2.91219621363529	0.213150687509335	0.831209430015339	0.93059630108892	4	22	21	0	0	0	0	0	0	0	0	0	0	12	0	0	No	NOVOJLWW	NOVOJLWW	NOVOJLWW
2.48155389873517	-0.0228023665581096	2.92559560603223	-0.00779409379447174	0.993781275858409	0.997176713764819	5	0	6	0	0	0	0	0	0	0	0	0	0	8	7	0	No	NOVU2BGV	NOVU2BGV	NOVU2BGV
3.71630440637913	-0.890662907478984	2.91465306252101	-0.305581106352538	0.759923607713351	0.901940671952294	7	0	7	0	0	0	0	0	0	0	0	0	0	18	7	0	No	NOVA6YCW	NOVA6YCW	NOVA6YCW
0.582714649975073	-2.65450108578921	3.01516760827553	-0.880382595814433	0.378652081601857	0.84655442959671	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	No	NOVR8OV5	NOVR8OV5	NOVR8OV5
9.49763988120987	-0.142271459923639	2.3224495170588	-0.0612592260364023	0.95115276269353	0.984864506181402	0	0	0	41	17	0	0	32	0	0	0	0	26	11	8	15	No	NOV2L9JY	NOV2L9JY	NOV2L9JY
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVDQA3B	NOVDQA3B	NOVDQA3B
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV4US4J	NOV4US4J	NOV4US4J
5.72734352716602	0.0312537027687303	2.74509583812771	0.0113852865661867	0.990916051879698	0.996539212309727	0	0	0	0	12	0	0	38	0	0	0	0	8	17	11	0	No	NOVR348G	NOVR348G	NOVR348G
4.94156848782065	0.0569918410442763	2.52442533125465	0.022576164301105	0.981988357113609	0.996539212309727	0	0	0	0	15	0	0	31	0	0	0	0	6	9	7	6	No	NOVCZGT0	NOVCZGT0	NOVCZGT0
26.3375997805757	0.177471656699074	1.85005006196261	0.0959280293803532	0.92357773300515	0.972312207977107	4	41	0	48	32	0	0	141	6	0	0	0	106	14	7	41	No	NOVLB322	NOVLB322	NOVLB322
9.63997030401485	0.417560079039864	2.31962949161473	0.180011540872932	0.857143507895673	0.943919479615859	0	24	0	0	18	0	0	33	0	0	0	0	24	14	10	18	No	NOVNZ5GV	NOVNZ5GV	NOVNZ5GV
2.06147733294574	1.03607673212742	2.94056545050189	0.352339286292909	0.724583828547176	0.876609075644412	0	0	8	0	0	0	0	0	0	0	0	0	0	7	7	0	No	NOVRCCP4	NOVRCCP4	NOVRCCP4
1.82292263727788	-0.307180091922667	2.93961737486678	-0.104496624135169	0.916775247164182	0.969096654366714	0	0	11	0	0	0	0	23	0	0	0	0	0	3	0	0	No	NOV29OJ8	NOV29OJ8	NOV29OJ8
