baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R2W0	R30W7	R14W7	R14W0	R2W7	R30W0	R20W0	R4W7	R18W7	R12W0	R18W0	R12W7	R4W0	R20W6	R1W7	R17W0	R17W7	R1W0	R7W0	R29W0	R23W7	R11W7	R11W0	R7W7	R29W7	R23W0	Significant	tax[rownames(res), ]	Phylum	KO
5.08162004144702	2.14552038876314	2.49708472594297	0.859210088657655	0.390224618349253	0.921601248521495	0	0	9	24	0	0	0	0	0	0	0	15	0	47	0	0	28	0	0	25	0	0	0	0	0	0	No	NOVRXQ4A	NOVRXQ4A	NOVRXQ4A
0.681634687106763	-2.79868088915322	2.96022298570075	-0.945429078374214	0.344439862612263	0.921601248521495	0	0	0	0	0	15	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVI1W5Z	NOVI1W5Z	NOVI1W5Z
8.96464215493513	3.87450503146282	2.13538250562004	1.81443138232408	0.0696113379100395	0.921601248521495	0	23	103	0	0	0	0	17	41	0	0	0	8	7	0	3	16	0	0	0	0	0	0	0	0	0	No	NOV9N1DE	NOV9N1DE	NOV9N1DE
3.7775280446235	1.50372604183615	2.90483916667423	0.517662409364225	0.604693829903647	0.921601248521495	0	0	0	0	0	0	15	0	66	0	8	0	0	45	0	0	22	0	0	0	0	0	0	0	0	0	No	NOV2OJSI	NOV2OJSI	NOV2OJSI
22.3924233524754	1.89594603112793	1.66780837874269	1.13678888731644	0.255626550004576	0.921601248521495	4	26	38	39	0	12	46	8	135	0	16	67	14	106	0	0	64	0	0	0	0	0	0	0	0	0	No	NOVG6IS9	NOVG6IS9	NOVG6IS9
11.4520432621565	1.49726424672075	1.83710978303842	0.815010763398367	0.415066149058147	0.921601248521495	0	0	19	28	0	0	17	34	68	0	21	20	14	48	0	3	22	0	0	0	0	0	0	0	0	0	No	NOV5FSXX	NOV5FSXX	NOV5FSXX
18.6485007703387	1.99362210875137	1.38078323773105	1.4438342342766	0.148785609616867	0.921601248521495	0	17	0	12	0	8	29	29	125	0	3	47	0	94	0	8	29	0	0	22	5	20	29	0	10	0	No	NOVYVIHF	NOVYVIHF	NOVYVIHF
1.18969443413258	3.78471304713237	2.9527868118269	1.2817427360395	0.199932908013401	0.921601248521495	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	8	0	No	NOV168JF	NOV168JF	NOV168JF
6.97107499398585	2.64379557093192	2.49965905198019	1.05766247154289	0.290209350401576	0.921601248521495	0	0	13	0	0	0	22	0	65	0	0	18	0	48	0	0	10	0	0	0	0	0	0	0	0	0	No	NOVBL5KP	NOVBL5KP	NOVBL5KP
0.646026067040722	-2.71938855594127	2.96133907664283	-0.918296920940291	0.358463438845614	0.921601248521495	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	12	0	0	0	0	0	0	No	NOVGV7PF	NOVGV7PF	NOVGV7PF
